priority,rule_id,domain,category,executable,immutable,severity,status,trigger_en,trigger_expr,action_en,agronomic_basis,yield_impact,confidence,source_tier,recoverability,source_class,references,review_outcome,reviewer,review_date,review_comment_mr
P1,D03-MN-002,D03,MN,yes,no,red,PHASE_1_RAW_UNVALIDATED,Soil moisture is at saturation,soil_moisture_vwc >= vwc_saturation,Do not irrigate regardless of what the rainfall arithmetic says. The sensor reading overrides the computation.,"The water balance calculation estimates; the sensor measures. Where they conflict on the excess side, the measurement wins because the downside is asymmetric â€” a missed irrigation costs a little, an added irrigation on saturated soil costs the crop.",Prevents the engine from causing the very condition it is meant to avoid.,0.9,A,full,DERIVED,Core C2.3 | Domain 3 dual risk,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"The safety principle is correct: do not irrigate at measured saturation. However, vwc_saturation must be sensor/soil calibrated and the rule should include data-quality/staleness checks."
P1,D03-MN-004,D03,MN,yes,no,red,PHASE_1_RAW_UNVALIDATED,rain_gap_days greater than or equal to 7 AND stage is G3 or G4,"rain_gap_days >= 7 AND STAGE IN [G3, G4]","Resume full irrigation at 7 days, not 10. Do not wait for the general rule.","G3 and G4 are named critical irrigation stages. Moisture deficit during finger differentiation prevents fingers from forming at all, and they do not form later.","u = 0.15 to 0.25 for stress in the critical window, and it is irrecoverable.",0.85,B,none,SRC-D,ICL Growing Solutions critical stages | Core C2.2,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,ICAR-IISR supports 7–10 day irrigation intervals depending on weather and soil and identifies rhizome initiation/development as critical stages. A fixed 'full irrigation at 7 days' rule is too absolute. Gate it with VWC/ETc/rainfall and local stage definitions.
P1,D03-WL-001,D03,WL,yes,no,red,PHASE_1_RAW_UNVALIDATED,soil_moisture_vwc at saturation AND saturation_hours greater than 12,DURATION(soil_moisture_vwc > vwc_saturation) > 12 HOURS,RED alert. Stop drip immediately. Inspect all three drainage levels. Trigger the soft rot preventive protocol in Domain 6.,"Saturated pore space excludes oxygen, root respiration fails, roots die, and the damaged tissue is colonised by Pythium and Fusarium. The damage is time-dependent, so duration rather than instantaneous moisture level is the correct trigger.","u = 0.20 to 0.50 at G2, and this is the entry route to the largest single loss factor in the crop at 0.50 to 0.90.",0.88,A,none,SRC-D,CJAST 39(35) 2020 soft rot review | Heliyon 2023 | Core C2.3,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"Saturation duration is a scientifically meaningful waterlogging signal and soft rot is associated with excess moisture. The exact >12 h threshold and u-values are not established by the cited sources. Keep as a conservative alert, not a validated loss rule, until local calibration."
P1,D03-WL-003,D03,WL,yes,no,red,PHASE_1_RAW_UNVALIDATED,Month is October or November AND forecast exceeds 40 mm,"MONTH IN [OCT, NOV] AND forecast_rain_48h_mm > 40","RED alert, more severe than the equivalent monsoon warning. Stop drip, clear channels urgently, and check saturation within 12 hours of the rain stopping.","Tropical cyclones reach this district with a secondary peak in October and November. By then the rhizome is fully formed, the soil is dry and cracked after weeks without rain, and drainage channels have usually been neglected because the monsoon is considered over.","u = 0.20 to 0.40, and the loss is more expensive than an equivalent July event because the full season's investment is already committed.",0.75,B,none,SRC-D,climatestotravel Aurangabad cyclone seasonality | Domain 7,NON_COMPLIANT,VIRAAI_AGRONOMY_REVIEW,46287,"The October/November >40 mm trigger is based on a tourism/weather site rather than an authoritative agronomy or IMD threshold, and 'more severe than monsoon warning' is unsupported. Replace with forecast rainfall + soil/VWC/drainage conditions and/or official IMD warning data."
P1,D04-DG-003,D04,DG,yes,no,red,PHASE_1_RAW_UNVALIDATED,leaf_yellowing_pattern is with_soft_stem or sudden_green_wilt,"leaf_yellowing_pattern IN [with_soft_stem, sudden_green_wilt]",STOP nutrient advisory and escalate to Domain 6 disease diagnosis immediately. Do not recommend any fertiliser.,"Soft stem with foul smell indicates soft rot; wilting while still green indicates bacterial wilt. Both are disease events, and fertiliser applied at that point is money spent while the crop is being lost.",Redirects to the 0.50 to 0.90 loss pathway where the real decision lies.,0.9,A,none,SRC-D,Agrowon - Mali & Mahajan | Domain 6 differential diagnosis,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"Stopping nutrient advice and escalating disease diagnosis when soft-stem/foul-smell or sudden wilt is reported is agronomically sound. Keep it as differential diagnosis, not definitive disease diagnosis."
P1,D04-NS-003,D04,NS,yes,no,red,PHASE_1_RAW_UNVALIDATED,dap greater than 80 AND nitrogen application proposed,dap > 80 AND n_applied_kg_per_acre IS NOT NULL,REFUSE further nitrogen. Excess nitrogen after this point produces foliage at the expense of the rhizome and delays maturity.,"Excessive nitrogen leads to excessive foliage growth at the expense of rhizome development. Flowering at 150 to 210 DAP marks the physiological shift from shoot to rhizome growth, and nitrogen must be finished well before it.","u = 0.08 for late nitrogen, and it is irrecoverable because the partitioning window has passed.",0.85,A,none,SRC-D,AgriFarming - excessive nitrogen | Agrowon - Dr. Kadam schedule | Domain 1 flowering partition shift,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"Avoiding late/excess N is agronomically reasonable, but the exact >80 DAP cutoff and u=0.08 are not sufficiently supported as universal ginger thresholds. Make N timing depend on variety, soil test, total N plan and crop stage."
P1,D05-CH-008,D05,CH,yes,no,red,PHASE_1_RAW_UNVALIDATED,"A recorded spray input is on the crop blocklist, so its pre-harvest interval cannot be certified",phi_blocklist_hit IS TRUE,"Warn the farmer that a blocklisted input (not registered for ginger) was recorded on this plot, so no valid pre-harvest interval exists for it. Do not present any PHI number as clearance and do not advise harvest or sale on that basis. Show the block reason and its source, and tell the farmer to consult the agronomist before harvesting this crop.","The farm-brain mapper raises phi_blocklist_hit when a recorded fungicide or insecticide group matches the crop input blocklist (e.g. chlorpyriphos, which is not registered on ginger and is blocked by D05-CH-001). A blocklisted molecule carries no valid pre-harvest interval, so any PHI figure would be misleading; the honest engine response is to surface the block to the farmer rather than emit a number.","Food-safety and regulatory, not yield. Harvesting or selling produce treated with an unregistered molecule risks an MRL violation, market rejection and legal exposure.",0.9,A,none,DERIVED,CIB&RC label / FSSAI MRL | AGRONOMY_SIGNOFF 2026-09-21,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"The safety logic is correct: never invent a PHI for an unregistered/blocklisted use. However, the current registry is incomplete/hardcoded; the full crop-specific registration/label/PHI dataset must be loaded and verified before production sign-off."
P1,D06-SR-001,D06,SR,yes,no,red,PHASE_1_RAW_UNVALIDATED,"Saturation exceeded 12 hours OR humidity above 85 percent for three consecutive days, in August or September, at stage G2 or G3","(DURATION(soil_moisture_vwc > vwc_saturation) > 12 HOURS OR DURATION(rh_pct > 85) > 72 HOURS) AND MONTH IN [AUG, SEP] AND STAGE IN [G2, G3]","Start the preventive protocol WITHOUT waiting for symptoms. Check all three drainage levels, stop drip, apply Trichoderma drench, and where risk is high apply a preventive metalaxyl plus mancozeb drench.","For a disease flagged not curable, symptom appearance means the yield is already lost. When leaves yellow and the shoot collapses, the rhizome is already rotten. The environmental signature that precedes infection is therefore the correct trigger, and a high false positive rate is the price of prevention.",Soft rot carries 50 to 90 percent loss. Ten false alarms cost ten drainage inspections; one missed true alarm costs most of the crop.,0.88,A,none,SRC-D,CJAST 39(35) 2020 Pythium soft rot review | Core C4.1 trigger-based escalation,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"The environmental-risk concept is valid and ICAR literature supports soft-rot management, but RH>85% for 72 h and VWC saturation >12 h are not validated as universal disease triggers. Chemical actions must also be tied to current crop labels/registrations and local recommendations."
P1,D07-CY-001,D07,CY,yes,no,red,PHASE_1_RAW_UNVALIDATED,Month is October or November AND forecast_rain_48h_mm above 40,"MONTH IN [OCT, NOV] AND forecast_rain_48h_mm > 40","Raise a red drainage alert, more severe than the equivalent monsoon warning. Stop drip, clear channels urgently, and check saturation within 12 hours of the rain stopping.","The district lies in the path of tropical cyclones with a post-monsoon intensity peak in October and November. It is not struck at full intensity but can receive heavy rainfall. By then the rhizome is fully formed, the soil has been dry and cracked for weeks, and drainage channels have usually been neglected because the monsoon is considered over.","u = 0.20 to 0.40, and more expensive than an equivalent July event because the entire season investment is already committed.",0.75,B,none,SRC-D,climatestotravel Aurangabad cyclone seasonality,NON_COMPLIANT,VIRAAI_AGRONOMY_REVIEW,46287,October/November forecast >40 mm is not an IMD severe-weather threshold and the cited cyclone-seasonality source is insufficient for a red drainage alert. Replace with official forecast/warning + field water-state logic. Do not call it 'more severe' than a monsoon warning without a defined scale.
P1,D07-MO-002,D07,MO,yes,no,red,PHASE_1_RAW_UNVALIDATED,dry_spell_days at or above 7 AND stage is G3 or G4,"dry_spell_days >= 7 AND STAGE IN [G3, G4]",Resume full irrigation at 7 days rather than waiting for the general 10 to 12 day rule. In G3 and G4 a ten day gap is already too long.,"Dry spells of 20 to 45 days have been recorded across Maharashtra with Marathwada worse than average, and pulse yields in Latur fell 40 to 60 percent in one such event. The general 10 to 12 day intervention rule is a floor for average conditions, not a description of this belt.","u = 0.20 for stress in the critical window, and it is irrecoverable because fingers that fail to differentiate do not form later.",0.85,A,none,SRC-D,The Wire Science dry spell record | SIMA | Domain 3 critical stages,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"Dry-spell monitoring is appropriate, but '7 days = full irrigation' is too absolute. IISR recommends 7–10 day intervals based on weather and soil and identifies critical stages. Use VWC/ETc/rainfall rather than dry days alone."
P1,D07-RF-001,D07,RF,yes,no,red,PHASE_1_RAW_UNVALIDATED,Pre-season area planning is initiated,season_water_plan_basis IS NULL OR season_water_plan_basis != 'poor_year',"Size the area against a POOR year water assumption, not an average one. State plainly that 55 percent of years here fall below the long-term average. Half the area fully watered beats the full area half watered.","Against the Marathwada long-term average of 776 mm, 55 percent of years recorded less. The average is therefore better than the median, and planning on it fails in more than half of years. In ginger the largest cost is seed rhizome, spent before the season starts, so running short of water mid-season produces a near-total loss rather than a proportional one.","Water exhaustion in G4 carries u = 0.20 to 0.40, and because the seed cost is already sunk the financial loss is close to total.",0.88,A,none,SRC-Q,"Arabian Journal of Geosciences, Springer 2022",CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"Poor-year water planning is a sound risk-management principle, but the cited 776 mm/55% figures are not yet the authoritative station-normal dataset in the system. Load IMD 1991–2020 station normals first and calculate water-budget risk locally."
P1,D08-EU-002,D08,EU,yes,no,red,PHASE_1_RAW_UNVALIDATED,flowering_observed is true AND earthing_up_date is empty,flowering_observed IS TRUE AND earthing_up_date IS NULL,Record that the earthing up window has closed and register a 12.5 percent yield penalty for Domain 11 gap attribution. Do not attempt earthing up now â€” disturbing roots during bulking causes further loss.,"After the flowering spike opens, leaf growth stops and rhizome growth begins. Earthing up works by breaking roots so new fibrous roots form, which needs time. Doing it after bulking has started damages the root system without the compensating regrowth.","u = 0.125, irrecoverable.",0.85,A,none,SRC-D,Agrowon - Dr. Kadam flowering and rhizome growth | Domain 1 partition shift,NON_COMPLIANT,VIRAAI_AGRONOMY_REVIEW,46287,"The exact 12.5% yield penalty is unsupported. ICAR research shows earthing-up timing affects yield, but not a universal 12.5% penalty tied to flowering. Keep the late-earthing warning, remove the fixed yield penalty unless validated."
P1,D08-LY-001,D08,LY,yes,no,red,PHASE_1_RAW_UNVALIDATED,soil_type is vertisol AND has_drip is true AND planting_layout is not broad_ridge,soil_type == 'vertisol' AND has_drip IS TRUE AND planting_layout != 'broad_ridge',"Require broad ridge layout. It is the recommended method specifically for black soils and for fields using drip or sprinkler, and it yields 15 to 20 percent more than the alternatives while using 33 to 44 percent fewer plants.","Both qualifying conditions hold at Kannad â€” the soil is black and drip is a precondition. The method lifts the root zone above standing water and suits single-line drip. Computed plant population falls from about 198,000 per hectare on flat beds to about 111,000 on the Kadam geometry, because wider spacing lets each rhizome expand laterally rather than competing.","u = 0.167 for not using it, derived from the recorded 20 percent gain. Separately it cuts the largest cost line by roughly 44 percent.",0.9,A,none,SRC-Q,Agrowon - Dr. Jitendra Kadam | AgroWorld layout comparison | computed plant population,NON_COMPLIANT,VIRAAI_AGRONOMY_REVIEW,46287,The universal claim that broad ridges give 15–20% higher yield and 33–44% fewer plants is not defensible from the cited evidence. ICAR research has reported different results by planting method/environment. Make layout recommendation soil/slope/drainage specific and remove universal yield/cost claims.
P1,D09-MT-002,D09,MT,yes,no,red,PHASE_1_RAW_UNVALIDATED,Leaf yellowing reported AND dap below 200,leaf_yellowing_pattern IS NOT NULL AND dap < 200,BLOCK the maturity conclusion. Yellowing before 200 DAP has at least six other causes in this belt. Run the diagnosis sequence before any harvest planning.,"Yellowing in this belt can be nitrogen deficiency, iron or zinc lock-up from free lime, waterlogging, soft rot, bacterial wilt or heat scorch. Reading it as maturity would mean harvesting early and, worse, missing a rot diagnosis.",Prevents both premature harvest and a missed disease diagnosis worth up to 0.70.,0.88,A,partial,DERIVED,Domain 4 yellowing diagnosis | Domain 6 differential diagnosis,CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,Correctly blocks premature harvest interpretation of yellowing and routes to differential diagnosis. The list of causes and the 200-DAP cutoff should remain variety/stage-specific.
P1,D09-PR-002,D09,PR,yes,yes,red,PHASE_1_RAW_UNVALIDATED,The Malabar lime and sulphur method is being considered,drying_method == 'malabar_lime_sulphur',"Warn on two counts before describing the method. Sulphur fumigation leaves SO2 residues that face strict limits in export markets, with some buyers rejecting treated produce outright. And burning sulphur in a closed room is a serious respiratory hazard. Do not present this as first choice until FSSAI and export limits have been verified.","The method uses 6 to 10 g of sulphur per kg of rhizome across three 12-hour fumigation cycles in a closed room. That is both a residue source and an operator hazard, and the residue limit has not been checked.",None. Food safety and market access.,0.85,C,full,VERIFY,AgroWorld Malabar method | SO2 residue limits in export markets,LEGAL_FOOD_SAFETY_REVIEW_REQUIRED,VIRAAI_AGRONOMY_REVIEW,46287,"The hazard warning is appropriate, but residue limits, FSSAI status and export-market acceptability require current regulatory verification before any processing recommendation."
P1,D14-DP-001,D14,DP,yes,yes,red,AUTHOR_DRAFT,A satellite chip or image would show a plot other than the current viewer's own plot without aggregation,"sat_public_display_context IN ['third_party', 'cluster_aggregate'] AND third_party_share_consent_given IS FALSE","Block the display. Aggregate to cluster mean if legitimate cluster context is needed. Log the block event with viewer identity, plot identity, and requested purpose.",DPDP Act 2023 personal data definition. See RAW MASTER Â§13.6.,Regulatory and reputation protection.,0.95,A,none,SRC-Q,DPDP Act 2023 | RAW MASTER Â§13.6 | Domain 12 DPDP rules,LEGAL_REVIEW_REQUIRED,VIRAAI_AGRONOMY_REVIEW,46287,"This is a privacy/data-governance rule, not agronomy. The protective behavior is sensible, but final compliance wording must be reviewed against the current DPDP legal framework and system data flows."
P1,D14-NV-004,D14,NV,yes,no,red,AUTHOR_DRAFT,Plot NDVI has dropped by 0.15 or more over the last 10 days AND scene is trusted,"ndvi_delta_10d <= -0.15 AND scene_valid_pixel_pct >= 60 AND sat_advisory_confidence >= 0.5 AND STAGE IN [G2, G3, G4]","Send an URGENT scout request to the farmer today. Message: canopy has declined sharply on satellite view; check for waterlogging, disease, pest, hail damage, or herbicide drift, and report back with a photo. Simultaneously, pull last 7 days of sub-node soil moisture, EC, and rainfall for automatic cross-check and stage this for the D06 differential branch.",A 15-point NDVI drop in 10 days is well outside the normal senescence trajectory in G2-G4 and reflects a real change. The signal itself is trustworthy; the CAUSE requires the ground check and D06 differential.,"Counted under investigation_dispatched; the yield-impact number is assigned by the confirmed downstream domain (D06 disease, D03 water, etc.), not by this rule.",0.75,B,same_season,DERIVED,"RAW MASTER Â§8.3, Â§9.2 | Domain 6 differential-diagnosis rules | Zhu & Woodcock 2014",CONDITIONAL,VIRAAI_AGRONOMY_REVIEW,46287,"NDVI decline is a valid anomaly/scouting signal, but the fixed -0.15/10-day threshold is not locally validated. Keep the urgent scout action only as an anomaly alert and require ground/sensor confirmation before any treatment."
P1,D14-POS-001,D14,POS,yes,yes,red,AUTHOR_DRAFT,An outgoing customer message or marketing artefact contains a claim that 'the satellite detects ginger rhizome rot',outgoing_message_contains_claim IS TRUE AND claim_type == 'pos_001',"Block the outgoing message. Log the attempted claim, the source (rule id, template, human author), and the block event. The underground rhizome is invisible to every current satellite; canopy signal is late and shared with several other causes. See RAW MASTER Â§5.",The underground rhizome is invisible to every current satellite; canopy signal is late and shared with several other causes. See RAW MASTER Â§5.,Reputation and truthfulness protection.,0.95,A,none,SRC-Q,RAW MASTER Â§5 | Domain 6 rhizome-canopy decoupling architecture note,COMPLIANT,VIRAAI_AGRONOMY_REVIEW,46287,Blocking the claim that satellite directly detects underground ginger rhizome rot is scientifically appropriate. Satellite canopy signals are indirect and non-specific.
P1,D14-POS-002,D14,POS,yes,yes,red,AUTHOR_DRAFT,An outgoing customer message or marketing artefact contains a claim that 'NDVI tells you when to harvest',outgoing_message_contains_claim IS TRUE AND claim_type == 'pos_002',"Block the outgoing message. Log the attempted claim, the source (rule id, template, human author), and the block event. Canopy senescence signals a stage window, not maturity precision. Harvest timing is a D09 rule with sub-node + DAP inputs.","Canopy senescence signals a stage window, not maturity precision. Harvest timing is a D09 rule with sub-node + DAP inputs.",Reputation and truthfulness protection.,0.95,A,none,SRC-Q,RAW MASTER Â§16.1 | Domain 9 harvest rules,COMPLIANT,VIRAAI_AGRONOMY_REVIEW,46287,Blocking the claim that NDVI alone determines exact harvest timing is appropriate. Harvest requires variety maturity and field evidence.
P1,D14-POS-003,D14,POS,yes,yes,red,AUTHOR_DRAFT,An outgoing customer message or marketing artefact contains a claim that 'we predict your yield from space',outgoing_message_contains_claim IS TRUE AND claim_type == 'pos_003',"Block the outgoing message. Log the attempted claim, the source (rule id, template, human author), and the block event. Domain 12 already prohibits yield prediction as a customer claim; satellite-derived estimates carry the same prohibition.",Domain 12 already prohibits yield prediction as a customer claim; satellite-derived estimates carry the same prohibition.,Reputation and truthfulness protection.,0.95,A,none,SRC-Q,RAW MASTER Â§16.1 | Domain 12 prohibited claims,COMPLIANT,VIRAAI_AGRONOMY_REVIEW,46287,Blocking the claim that yield is predicted from space alone is appropriate. Satellite can be one input to a validated multi-source yield model.
P1,D14-POS-004,D14,POS,yes,yes,red,AUTHOR_DRAFT,An outgoing customer message or marketing artefact contains a claim that 'our AI counts your ginger plants from orbit',outgoing_message_contains_claim IS TRUE AND claim_type == 'pos_004',"Block the outgoing message. Log the attempted claim, the source (rule id, template, human author), and the block event. Plant count from 10 m Sentinel-2 pixels is not physically possible. Sub-metre commercial imagery is prohibitively expensive per farmer.",Plant count from 10 m Sentinel-2 pixels is not physically possible. Sub-metre commercial imagery is prohibitively expensive per farmer.,Reputation and truthfulness protection.,0.95,A,none,SRC-Q,RAW MASTER Â§16.1 | ESA Sentinel-2 resolution specification,COMPLIANT,VIRAAI_AGRONOMY_REVIEW,46287,Blocking the claim of ordinary plant counting from Sentinel-2 10 m imagery is appropriate for individual ginger plants at field scale.
